Customer #	Interarrival Time (minutes)	Service Time
388	4.43	1.25
389	3.21	2.38
390	4.10	2.01
391	5.04	2.82
392	6.05	3.12
393	3.95	2.96
394	1.63	3.51
395	3.04	3.18
396	5.14	3.07
397	2.73	4.31
398	4.34	2.06
399	4.34	2.02
400	5.04	2.01
401	3.97	2.87
402	4.12	3.32
403	2.85	2.91
404	4.59	4.24
405	4.43	4.24
406	3.47	3.57
407	4.52	1.92
408	3.81	2.02
409	3.29	1.24
410	3.26	2.08
411	4.51	3.17
412	5.05	3.49
413	3.68	2.40
414	3.85	2.50
415	3.04	1.05
416	3.74	3.04
417	4.35	2.86
418	3.23	2.21
419	3.34	4.36
420	4.59	2.13
421	6.20	1.97
422	3.68	4.97
423	3.64	2.53
424	3.00	3.28
425	5.43	3.91
426	5.51	2.31
427	2.43	3.77
428	3.73	2.28
429	4.07	2.78
430	3.63	2.23
431	4.42	1.79
432	3.50	2.15
433	3.89	2.73
434	4.97	2.56
435	2.86	2.86
436	4.19	2.59
437	2.92	1.83
438	4.21	5.56
439	4.05	2.59
440	4.85	2.89
441	6.60	5.19
442	3.84	3.34
443	2.44	3.60
444	5.06	2.85
445	2.59	2.61
446	3.35	2.40
447	4.05	3.50
448	4.75	2.93
449	6.16	2.79
450	5.16	3.08
451	3.54	2.66
452	4.84	2.92
453	4.87	1.67
454	4.19	2.97
455	1.92	3.02
456	2.49	3.87
457	3.19	3.34
458	5.24	3.68
459	5.19	5.81
460	5.03	3.92
461	6.22	4.04
462	5.62	1.81
463	4.27	2.37
464	2.47	3.60
465	4.48	3.51
466	4.45	3.21
467	4.23	2.66
468	2.03	3.09
469	2.08	5.58
470	4.91	4.78
471	4.23	1.95
472	4.41	1.27
473	5.66	3.78
474	3.71	2.56
475	4.67	2.94
476	4.34	2.79
477	2.71	2.19
478	4.43	1.15
479	3.71	1.06
480	3.92	3.95
481	4.31	3.31
482	3.27	3.35
483	4.23	2.10
484	3.71	2.01
485	4.15	2.14
486	3.56	3.40
487	4.63	2.47
488	3.15	2.64
489	4.52	3.44
490	3.93	4.24
491	1.61	3.08
492	1.09	3.99
493	3.83	3.96
494	2.01	3.20
495	4.12	3.00
496	3.89	3.85
497	4.51	2.81
498	3.28	3.03
499	2.91	3.20
500	5.14	2.62
